Purpose,Type,Size,Size_unit,Listing_type,Bedrooms,Bathrooms,Area_name,Area_marla_size,city_name,Sub_type,Price,Price_cond
sale,residential,Ten,marla,basic,Five,Five,G-9/3,Two Hundred SeventyTwo,Islamabad,house,61000000,High
sale,residential,Nine,marla,basic,Five,Five,G-10/2,Two Hundred Fifty,Islamabad,house,68000000,High
sale,residential,Twelve,marla,basic,Nine,Nine,G-10/2,Two Hundred Fifty,Islamabad,house,100000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,75000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,31000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Ten,marla,basic,Five,Six,G-13/1,Two Hundred SeventyTwo,Islamabad,house,65000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Ten,marla,basic,Five,Six,G-13/1,Two Hundred SeventyTwo,Islamabad,house,64000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,30000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29500000,Low
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,29000000,Low
sale,residential,One,kanal,basic,Five,Five,Bahria Enclave,Two Hundred SeventyTwo,Islamabad,house,90000000,High
sale,residential,Ten,marla,basic,Five,Five,"Bahria Enclave, Sector A",Two Hundred SeventyTwo,Islamabad,house,47000000,High
sale,residential,Five,marla,basic,Five,Five,Bahria Enclave,Two Hundred SeventyTwo,Islamabad,house,37000000,High
sale,residential,Five,marla,basic,Four,Four,"Bahria Enclave, Sector A",Two Hundred SeventyTwo,Islamabad,house,36500000,High
sale,residential,Eight,marla,basic,Five,Five,Bahria Enclave,Two Hundred SeventyTwo,Islamabad,house,28000000,Low
sale,residential,Ten,marla,basic,Five,Five,Bahria Enclave,Two Hundred SeventyTwo,Islamabad,house,40000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/1,Two Hundred SeventyTwo,Islamabad,house,75000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/1,Two Hundred SeventyTwo,Islamabad,house,76000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/3,Two Hundred SeventyTwo,Islamabad,house,74500000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/2,Two Hundred SeventyTwo,Islamabad,house,74000000,High
sale,residential,Fourteen,marla,basic,Six,Seven,G-13/1,Two Hundred SeventyTwo,Islamabad,house,75500000,High
sale,residential,Ten,marla,basic,Five,Six,G-13/1,Two Hundred SeventyTwo,Islamabad,house,65000000,High
sale,residential,Four,marla,basic,Three,Four,G-13/1,Two Hundred SeventyTwo,Islamabad,house,31000000,High
sale,residential,Two,marla,basic,Two,Two,H-11/1,Two Hundred SeventyTwo,Islamabad,house,24500000,Low
sale,residential,Five,marla,basic,Three,Four,"DHA Phase 5, Sector D",Two Hundred TwentyFive,Islamabad,house,27000000,Low
sale,residential,Ten,marla,basic,Four,Three,I-10/2,Two Hundred SeventyTwo,Islamabad,house,32500000,High
sale,residential,Six,marla,basic,Four,Four,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,18500000,Low
sale,residential,Six,marla,basic,Six,Seven,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,13500000,Low
sale,residential,Six,marla,basic,Four,Four,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,13500000,Low
sale,residential,Four,marla,basic,Two,Two,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,6800000,Low
sale,residential,Four,marla,basic,Two,Two,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,7500000,Low
sale,residential,Four,marla,basic,Two,Three,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,6300000,Low
sale,residential,Five,marla,basic,Five,Five,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,8500000,Low
sale,residential,Five,marla,basic,Two,Three,Jhangi Syedan,Two Hundred SeventyTwo,Islamabad,house,8500000,Low
sale,residential,Ten,marla,basic,Five,Five,DHA Phase 3,Two Hundred TwentyFive,Islamabad,house,36000000,High
sale,residential,Four,marla,basic,Four,Three,F-10/3,Two Hundred SeventyTwo,Islamabad,house,33000000,High
